Rent,Address,Area,Bed,Bath,School,Crime,Commute,Shop_eat,Description,Feature,URL
"$2,500/mo",220 Saratoga St #2,"East Boston, Boston, MA",3 Beds,1 Bath,Schools6 Elementary Schools3 Middle Schools2 High Schools,CrimeModerate crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat198 Restaurants34 Groceries56 Nightlife,"220 Saratoga St #2,Boston, MA is a 3 bedroom, 1 bathroom multi-family. 220 Saratoga St #2 is located inEast Boston, Boston. 220 Saratoga St #2 was listed for rent for $2,550/month on May 19, 2020. This property is pet friendly.","Details for 220 Saratoga St #2Multi FamilyCats allowed37 Days on TruliaRent Includes: Gas, Sewage, GarbageDeposit: $2,550No Air ConditioningHeating fuel: noneLaundry: In UnitParking Type: noneDishwasherDisposalDryerMicrowaveRefrigeratorWasherFloors: HardwoodHeating Fuel: Gas GasSee All",https://www.trulia.com/p/ma/boston/220-saratoga-st-2-boston-ma-02128--2171480536
"$2,400/mo",219 Maverick St #2,"East Boston, Boston, MA",3 Beds,1 Bath,Schools4 Elementary Schools3 Middle Schools1 High School,CrimeLow crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat446 Restaurants62 Groceries179 Nightlife,"219 Maverick St #2,Boston, MA is a 3 bedroom, 1 bathroom multi-family. 219 Maverick St #2 is located inEast Boston, Boston. 219 Maverick St #2 was listed for rent for $2,400/month on May 8, 2020.","Details for 219 Maverick St #2Multi Family48 Days on TruliaRent Includes: Sewage, GarbageDeposit: $2,400Heating fuel: noneParking Type: noneNo Air ConditioningFloors: HardwoodHeating Fuel: None",https://www.trulia.com/p/ma/boston/219-maverick-st-2-boston-ma-02128--2176728870
"$2,400/mo",451 Meridian St #2,"East Boston, Boston, MA",3 Beds,1 Bath,Schools4 Elementary Schools2 Middle Schools2 High Schools,CrimeLow crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat164 Restaurants45 Groceries32 Nightlife,"451 Meridian St #2,Boston, MA is a 3 bedroom, 1 bathroom multi-family. 451 Meridian St #2 is located inEast Boston, Boston. 451 Meridian St #2 was listed for rent for $2,400/month on May 19, 2020.","Details for 451 Meridian St #2Multi Family37 Days on TruliaRent Includes: Sewage, GarbageDeposit: $2,400No Air ConditioningHeating fuel: noneParking Type: noneHeating Fuel: None",https://www.trulia.com/p/ma/boston/451-meridian-st-2-boston-ma-02128--2176728982
"$2,995/mo",905 Saratoga St #3,"East Boston, Boston, MA",4 Beds,1 Bath,Schools4 Elementary Schools2 Middle Schools3 High Schools,CrimeLowest crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat65 Restaurants7 Groceries11 Nightlife,"905 Saratoga St #3,Boston, MA is a 4 bedroom, 1 bathroom multi-family. 905 Saratoga St #3 is located inEast Boston, Boston. 905 Saratoga St #3 was listed for rent for $2,995/month on Feb 2, 2020. This property is pet friendly.","Details for 905 Saratoga St #3Multi FamilyCats allowedRent Includes: Gas, Hot Water, Sewage, GarbageDeposit: $2,995Laundry: SharedLaundry: In UnitParking Type: noneNo Air ConditioningHeating fuel: noneDishwasherDisposalDryerMicrowaveRefrigeratorWasherFloors: HardwoodHeating Fuel: Gas GasSee All",https://www.trulia.com/p/ma/boston/905-saratoga-st-3-boston-ma-02128--2171576308
"$2,995/mo",718 Saratoga St #3,"East Boston, Boston, MA",4 Beds,1 Bath,Schools2 Elementary Schools2 Middle Schools3 High Schools,CrimeLowest crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat145 Restaurants24 Groceries27 Nightlife,"718 Saratoga St #3,Boston, MA is a 4 bedroom, 1 bathroom multi-family. 718 Saratoga St #3 is located inEast Boston, Boston. 718 Saratoga St #3 was listed for rent for $2,995/month on Feb 4, 2020. This property is pet friendly.","Details for 718 Saratoga St #3Multi FamilyCats allowedRent Includes: Sewage, GarbageDeposit: $2,995Street ParkingNo Air ConditioningLaundry: In UnitHeating fuel: noneLaundry: SharedDishwasherDryerMicrowaveRefrigeratorWasherFloors: HardwoodHeating Fuel: Gas GasSee All",https://www.trulia.com/p/ma/boston/718-saratoga-st-3-boston-ma-02128--2171486865
"$2,700/mo",284 Sumner St #2,"East Boston, Boston, MA",4 Beds,1 Bath,Schools4 Elementary Schools3 Middle Schools1 High School,CrimeLow crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat467 Restaurants62 Groceries189 Nightlife,"284 Sumner St #2,Boston, MA is a 4 bedroom, 1 bathroom multi-family. 284 Sumner St #2 is located inEast Boston, Boston. 284 Sumner St #2 was listed for rent for $2,700/month on Jun 15, 2020.","Details for 284 Sumner St #2Multi Family10 Days on TruliaRent Includes: Sewage, GarbageDeposit: $2,700Heating fuel: noneNo Air ConditioningParking Type: noneDishwasherMicrowaveRefrigeratorHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/284-sumner-st-2-boston-ma-02128--2171568444
"$2,850/mo",905 Saratoga St #3,"East Boston, Boston, MA",4 Beds,1 Bath,Schools4 Elementary Schools2 Middle Schools3 High Schools,CrimeLowest crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat65 Restaurants7 Groceries11 Nightlife,"905 Saratoga St #3,Boston, MA is a 4 bedroom, 1 bathroom multi-family. 905 Saratoga St #3 is located inEast Boston, Boston. 905 Saratoga St #3 was listed for rent for $2,995/month on Feb 2, 2020. This property is pet friendly.","Details for 905 Saratoga St #3Multi FamilyCats allowedRent Includes: Gas, Hot Water, Sewage, GarbageDeposit: $2,995Laundry: SharedLaundry: In UnitParking Type: noneNo Air ConditioningHeating fuel: noneDishwasherDisposalDryerMicrowaveRefrigeratorWasherFloors: HardwoodHeating Fuel: Gas GasSee All",https://www.trulia.com/p/ma/boston/905-saratoga-st-3-boston-ma-02128--2171576308
"$2,400/mo",142 Gove St #8,"East Boston, Boston, MA",3 Beds,1 Bath,Schools5 Elementary Schools3 Middle Schools1 High School,CrimeLowest crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat284 Restaurants38 Groceries105 Nightlife,"142 Gove St #8,Boston, MA is a 3 bedroom, 1 bathroom multi-family. 142 Gove St #8 is located inEast Boston, Boston. 142 Gove St #8 was listed for rent for $2,400/month on Apr 6, 2020.","Details for 142 Gove St #8Multi FamilyRent Includes: Sewage, GarbageDeposit: $2,400Heating fuel: noneNo Air ConditioningParking Type: noneFloors: HardwoodHeating Fuel: None",https://www.trulia.com/p/ma/boston/142-gove-st-8-boston-ma-02128--2171829151
"$2,400/mo",145 Cottage St #1,"East Boston, Boston, MA",3 Beds,1 Bath,Schools5 Elementary Schools3 Middle Schools1 High School,CrimeLowest crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat284 Restaurants36 Groceries104 Nightlife,"145 Cottage St #1,Boston, MA is a 3 bedroom, 1 bathroom multi-family. 145 Cottage St #1 is located inEast Boston, Boston. 145 Cottage St #1 was listed for rent for $2,400/month on Apr 15, 2020.","Details for 145 Cottage St #1Multi FamilyNo pets allowedRent Includes: Sewage, GarbageDeposit: $2,400No Air ConditioningStreet ParkingHeating fuel: noneLaundry: In UnitLaundry: SharedDishwasherDryerMicrowaveRefrigeratorWasherFloors: HardwoodHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/145-cottage-st-1-boston-ma-02128--2349052740
"$3,600/mo",78 Trenton St #2,"East Boston, Boston, MA",5 Beds,1 Bath,Schools6 Elementary Schools3 Middle Schools2 High Schools,CrimeLow crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat205 Restaurants39 Groceries56 Nightlife,"78 Trenton St #2,Boston, MA is a 5 bedroom, 1 bathroom multi-family. 78 Trenton St #2 is located inEast Boston, Boston. 78 Trenton St #2 was listed for rent for $3,600/month on Mar 26, 2020.","Details for 78 Trenton St #2Multi FamilyRent Includes: Hot Water, Sewage, GarbageDeposit: $3,600No Air ConditioningParking Type: noneLaundry: In UnitHeating fuel: noneDryerMicrowaveWasherFloors: HardwoodHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/78-trenton-st-2-boston-ma-02128--2441906295
"$2,000/mo",151 Princeton St #2,"East Boston, Boston, MA",2 Beds,1 Bath,Schools6 Elementary Schools3 Middle Schools2 High Schools,CrimeLow crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat201 Restaurants34 Groceries57 Nightlife,"151 Princeton St #2,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 151 Princeton St #2 is located inEast Boston, Boston. 151 Princeton St #2 was listed for rent for $2,000/month on May 25, 2020. This property is pet friendly.","Details for 151 Princeton St #2Multi FamilyCats, small dogs, large dogs allowed31 Days on TruliaRent Includes: Sewage, GarbageDeposit: $2,000No Air ConditioningStreet ParkingHeating fuel: noneFloors: TileHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/151-princeton-st-2-boston-ma-02128--2393722118
"$2,800/mo",756 Saratoga St #2,"East Boston, Boston, MA",4 Beds,1 Bath,Schools2 Elementary Schools2 Middle Schools3 High Schools,CrimeLowest crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat121 Restaurants20 Groceries24 Nightlife,"756 Saratoga St #2,Boston, MA is a 4 bedroom, 1 bathroom multi-family. 756 Saratoga St #2 is located inEast Boston, Boston. 756 Saratoga St #2 was listed for rent for $2,800/month on Feb 14, 2020.","Details for 756 Saratoga St #2Multi FamilyRent Includes: Sewage, GarbageDeposit: $2,800Heating fuel: noneLaundry: In UnitLaundry: SharedNo Air ConditioningStreet ParkingDishwasherDisposalDryerWasherFloors: HardwoodHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/756-saratoga-st-2-boston-ma-02128--2174297459
"$2,850/mo",718 Saratoga St #3,"East Boston, Boston, MA",4 Beds,1 Bath,Schools2 Elementary Schools2 Middle Schools3 High Schools,CrimeLowest crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat145 Restaurants24 Groceries27 Nightlife,"718 Saratoga St #3,Boston, MA is a 4 bedroom, 1 bathroom multi-family. 718 Saratoga St #3 is located inEast Boston, Boston. 718 Saratoga St #3 was listed for rent for $2,995/month on Feb 4, 2020. This property is pet friendly.","Details for 718 Saratoga St #3Multi FamilyCats allowedRent Includes: Sewage, GarbageDeposit: $2,995Street ParkingNo Air ConditioningLaundry: In UnitHeating fuel: noneLaundry: SharedDishwasherDryerMicrowaveRefrigeratorWasherFloors: HardwoodHeating Fuel: Gas GasSee All",https://www.trulia.com/p/ma/boston/718-saratoga-st-3-boston-ma-02128--2171486865
"$2,800/mo",756 Saratoga St #2,"East Boston, Boston, MA",4 Beds,1 Bath,Schools2 Elementary Schools2 Middle Schools3 High Schools,CrimeLowest crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat121 Restaurants20 Groceries24 Nightlife,"756 Saratoga St #2,Boston, MA is a 4 bedroom, 1 bathroom multi-family. 756 Saratoga St #2 is located inEast Boston, Boston. 756 Saratoga St #2 was listed for rent for $2,800/month on Feb 14, 2020.","Details for 756 Saratoga St #2Multi FamilyRent Includes: Sewage, GarbageDeposit: $2,800Heating fuel: noneLaundry: In UnitLaundry: SharedNo Air ConditioningStreet ParkingDishwasherDisposalDryerWasherFloors: HardwoodHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/756-saratoga-st-2-boston-ma-02128--2174297459
"$2,450/mo",303 Maverick St,"East Boston, East Boston, MA",3 Beds,1 Bath,Schools4 Elementary Schools3 Middle Schools1 High School,CrimeLowest crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat345 Restaurants46 Groceries140 Nightlife,"303 Maverick St,East Boston, MA is a 3 bedroom, 1 bathroom, 2,994 sqft multi-family built in 1900. 303 Maverick St is located inEast Boston, East Boston. 303 Maverick St was listed for rent for $2,450/month on Oct 17, 2019.",Details for 303 Maverick StMulti FamilyBuilt in 1900,https://www.trulia.com/p/ma/east-boston/303-maverick-st-east-boston-ma-02128--2001527109
